,time,age,state,gender,occupation,covid_stress,living_with,contacts,covid_info_time,P1,P2,P3,P4,P6,P5a,P5b,P5c,P5d,P5e,P5f,P5g,P5h,P5i,P5j,P7,P8,P9,G1,G2,G3,G4,G5,G6,G7,12grade_nextstep,12grade_choices ,12grade_W1,12grade_W2,12grade_W3,12grade_W4,12grade_W5,12grade_W6,emp_salary_cut,emp_travel,emp_transport,emp_personal_life,emp_pressure,emp_workplace,emp_workflow ,emp_layoffs,emp_fear,emp_screening,emp_canteen,emp_children,emp_body ,emp_preference,emp_performance,unemp_reason,unemp_newjob,unemp_support,unemp_borrow,school_grade,school_hours,school_focus ,school_parents_monitor,school_parents_involve,school_S1 ,school_S2,school_S3,school_S4,school_S5,school_S6,school_S7,school_S8,school_S9,school_S10,school_S11,school_S12,school_S13,school_tuition,school_body,school_rating,college_type,college_focus ,college_parents_monitor ,college_parents_involve,college_S1,college_S2,college_S14,college_S3,college_S4,college_S5,college_S15,college_S7,college_S6,college_S8,college_S9,college_S10,college_S11,college_S12,college_S13,college_hours,college_wakeup,college_rating,college_body,healthcare_contact,healthcare_extra_hours,healthcare_ppe,healthcare_stay,healthcare_mistreat,healthcare_career_risk,healthcare_salary_cut,healthcare_perks,healthcare_food,healthcare_shifts,healthcare_benifits,healthcare_regret,finalyear_plan,finalyear_hours,finalyear_change,finalyear_placements_virtual,finalyear_ms_choices,finalyear_ms_uncertain,finalyear_ms_anxious,finalyear_confidence,finalyear_placements_number,finalyear_S1,finalyear_S2,finalyear_S14,finalyear_S3,finalyear_S4,finalyear_S5,finalyear_S15,finalyear_S7,finalyear_S6,finalyear_S8,finalyear_S9,finalyear_S10,finalyear_S11,finalyear_S12,finalyear_S13,home_workload,home_sharing,home_hustle,home_financial_constraints,home_privacy,home_children,old_delivery,old_status,old_govt_benefits,old_friends,old_entertainment,old_medical_reviews,old_dependent,old_tech,healthcare_type,gad7
152,8/31/2020 22:09:44,43.0,Maharashtra,Female,Homemaker,Low,No,Yes. But I am not fazed by it.,<1 hour/day,11:00:00 PM,30.0,7:00:00 AM,8.0,Very good,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Not during the past month.,Not during the past month.,Not during the past month.,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,"Yes, but unequally",No,Yes,Yes,3.0,,,,,,,,,,0
153,8/31/2020 22:26:39,21.0,Tamil Nadu,Female,Working Professional,Low,No,Yes. But I am not fazed by it.,<1 hour/day,2:00:00 AM,30.0,9:30:00 AM,7.0,Very Bad,Once or twice a week,Once or twice a week,Once or twice a week,Once or twice a week,Not during the past month,Less than once a week,Once or twice a week,Three or more times a week,Once or twice a week,Once or twice a week,Not during the past month.,Once or twice a week.,Less than once a week.,More than half the days,More than half the days,More than half the days,More than half the days,More than half the days,More than half the days,Several days,,,,,,,,,No,We work from home.,,No,No,,Yes,No,0.0,We work from Home.,0.0,0.0,Yes,Working from home.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
154,8/31/2020 22:26:43,35.0,Tamil Nadu,Female,Healthcare/sanitation worker or COVID-19 efforts essential worker,Medium,No,Yes. And it is worrying.,>3 hours/day,11:00:00 PM,15.0,7:00:00 AM,6.0,Fairly good,Less than once a week,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Not during the past month.,Not during the past month.,Less than once a week.,Several days,Several days,Several days,Several days,Several days,Several days,Several days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No.,Sometimes.,Sometimes,No.,Yes,No,,,None.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
155,8/31/2020 22:29:34,20.0,Tamil Nadu,Female,Working Professional,I've tested positive for COVID-19.,No,Yes. And it is worrying.,<1 hour/day,12:00:00 PM,10.0,7:00:00 AM,7.0,Fairly good,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month.,Not during the past month.,Not during the past month.,Nearly every day,Nearly every day,Nearly every day,More than half the days,Nearly every day,Nearly every day,Nearly every day,,,,,,,,,No,We work from home.,No,Yes,Yes,,No,No,0.0,We work from Home.,0.0,0.0,Yes,Working from home.,Yes. It has gotten better.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
156,8/31/2020 22:37:50,23.0,Tamil Nadu,Female,Working Professional,Medium,Yes,Yes. But I am not fazed by it.,<1 hour/day,11:00:00 AM,15.0,5:45:00 AM,6.0,Very good,Once or twice a week,Not during the past month,Once or twice a week,Once or twice a week,Less than once a week,Less than once a week,Once or twice a week,Once or twice a week,Once or twice a week,Less than once a week,Not during the past month.,Not during the past month.,Not during the past month.,Not at all,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,,,,,,,,,No,"Safe, I feel like I take adequate precautionary measures and that is satisfactory.","Yes, made commuting stressful",Yes,Yes,Yes,Yes,No,0.0,Yes,2.0,0.0,Yes,Working from home.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
157,8/31/2020 22:41:02,23.0,Tamil Nadu,Female,Working Professional,Medium,Yes,No.,<1 hour/day,10:22:00 AM,10.0,6:00:00 AM,10.0,Fairly good,Once or twice a week,Once or twice a week,Once or twice a week,Less than once a week,Once or twice a week,Once or twice a week,Less than once a week,Once or twice a week,Once or twice a week,Once or twice a week,Three or more times a week.,Three or more times a week.,Three or more times a week.,More than half the days,Several days,Several days,More than half the days,More than half the days,More than half the days,Several days,,,,,,,,,Yes,"Safe, I feel like I take adequate precautionary measures and that is satisfactory.","Yes, financially",Yes,Yes,Yes,Yes,Yes,3.0,Yes,4.0,3.0,Yes,Working from home.,Yes. It has gotten better.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
158,8/31/2020 22:41:15,20.0,Maharashtra,Female,Student in Final Year of College,High,No,Yes. And it is worrying.,<1 hour/day,11:00:00 PM,60.0,8:00:00 AM,8.0,Fairly good,Three or more times a week,Once or twice a week,Three or more times a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Once or twice a week,Once or twice a week.,Not during the past month.,Three or more times a week.,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,More than half the days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Work (Private Sector),20.0,Yes,Normal process is better.,,,,2.0,Yes,Low,High,Low,Low,High,High,High,Medium,Medium,High,Very High,High,Very High,Very High,Very High,,,,,,,,,,,,,,,,20
159,8/31/2020 22:46:27,23.0,Tamil Nadu,Female,Healthcare/sanitation worker or COVID-19 efforts essential worker,High,No,No.,>3 hours/day,12:00:00 PM,30.0,9:00:00 AM,6.0,Fairly good,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Less than once a week,Not during the past month,Not during the past month.,Not during the past month.,Not during the past month.,Not at all,Several days,More than half the days,Nearly every day,Several days,More than half the days,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No.,Very frequently/ permanently.,No,I plan to resign sometime soon. The risk to my health is too high.,No,Yes,No,No. I feel overworked.,None.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
160,8/31/2020 22:49:45,20.0,Tamil Nadu,Female,Student in Final Year of College,Medium,Yes,Yes. And it is worrying.,<1 hour/day,3:00:00 AM,40.0,10:00:00 AM,6.0,Fairly Bad,Three or more times a week,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Once or twice a week,Not during the past month,Once or twice a week,Not during the past month.,Three or more times a week.,Three or more times a week.,More than half the days,More than half the days,Nearly every day,Nearly every day,Several days,Several days,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Higher studies outside India,8.0,Yes,,Yes,Yes. I might have to postpone applications to 2022/ the intake next year.,Yes,2.0,Yes,Very Low,Very Low,Medium,Very Low,Very Low,High,Very High,Very Low,High,High,Very High,Very High,Very Low,Very Low,Medium,,,,,,,,,,,,,,,,12
161,8/31/2020 22:51:47,22.0,Tamil Nadu,Female,Working Professional,High,Yes,No.,1-2 hours/day,11:00:00 AM,1.0,9:00:00 AM,8.0,Very good,Once or twice a week,Less than once a week,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month.,Not during the past month.,Not during the past month.,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Not at all,,,,,,,,,No,"Safe, I feel like I take adequate precautionary measures and that is satisfactory.","Yes, both",No,No,Yes,Yes,Yes,2.0,Yes,5.0,1.0,Yes,Going to my workplace.,Yes. It has gotten worse.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
162,8/31/2020 22:52:15,23.0,Tamil Nadu,Female,Healthcare/sanitation worker or COVID-19 efforts essential worker,Medium,Yes,Yes. But I am not fazed by it.,1-2 hours/day,11:00:00 PM,15.0,8:00:00 AM,8.0,Very good,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month.,Not during the past month.,Not during the past month.,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes. I feel adequately protected.,Very frequently/ permanently.,No,I have a clinic and the patient inflow is very less.,No,No,Yes,Yes. And it is adequate with proper rotation.,None.,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
163,8/31/2020 22:53:09,52.0,Tamil Nadu,Female,Healthcare/sanitation worker or COVID-19 efforts essential worker,Medium,No,Yes. And it is worrying.,<1 hour/day,12:00:00 AM,5.0,5:50:00 AM,6.0,Fairly good,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month.,Not during the past month.,Not during the past month.,Several days,Several days,Several days,Several days,Not at all,Several days,Several days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes. I feel adequately protected.,I come home everyday.,No,No.,Yes,,,Yes. And it is adequate with proper rotation.,Free treatment,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
164,8/31/2020 22:54:47,26.0,Tamil Nadu,Female,Currently Unemployed,Medium,No,Yes. And it is worrying.,>3 hours/day,10:30:00 PM,60.0,7:00:00 AM,6.0,Fairly Bad,Three or more times a week,Three or more times a week,Three or more times a week,Not during the past month,Not during the past month,Not during the past month,Once or twice a week,Three or more times a week,Less than once a week,Once or twice a week,Not during the past month.,Less than once a week.,Once or twice a week.,Several days,Several days,Several days,More than half the days,Several days,More than half the days,Not at all,,,,,,,,,,,,,,,,,,,,,,,,No.,4.0,No.,Yes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
165,8/31/2020 22:56:44,26.0,Kerala,Male,Healthcare/sanitation worker or COVID-19 efforts essential worker,Medium,No,No.,<1 hour/day,11:25:00 PM,15.0,8:15:00 AM,7.0,Fairly good,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month.,Not during the past month.,Not during the past month.,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes. I feel adequately protected.,Very frequently/ permanently.,No,No.,Yes,Yes,Yes,No. I feel overworked.,Partial coverage.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
166,8/31/2020 23:00:08,20.0,Tamil Nadu,Female,Student in college but not final year.,Medium,No,No.,<1 hour/day,11:00:00 AM,20.0,6:45:00 AM,7.0,Fairly good,Once or twice a week,Once or twice a week,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Once or twice a week,Once or twice a week,Once or twice a week,Once or twice a week,Not during the past month.,Less than once a week.,Less than once a week.,More than half the days,More than half the days,More than half the days,More than half the days,Not at all,Several days,More than half the days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chartered accountancy,College is not functioning. There are no online classes.,No,They are not involved at all.,,,,,Very Low,Very Low,Very Low,,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,7.0,Most of the time.,3.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
167,8/31/2020 23:04:39,28.0,Tamil Nadu,Male,Working Professional,Medium,No,Yes. And it is worrying.,<1 hour/day,11:00:00 PM,15.0,7:00:00 AM,8.0,Fairly good,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month.,Not during the past month.,Not during the past month.,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,,,,,,,,,Yes,"Unsafe, it is a daily risk I take.",No,Yes,Yes,No,No,No,0.0,Yes,5.0,4.0,No,Working from home.,It's the same as before.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
168,8/31/2020 23:07:01,18.0,Tamil Nadu,Male,Student in college but not final year.,Medium,Yes,Yes. And it is worrying.,<1 hour/day,3:00:00 AM,240.0,7:00:00 AM,4.0,Very Bad,Three or more times a week,Not during the past month,Once or twice a week,Less than once a week,Not during the past month,Not during the past month,Less than once a week,Less than once a week,Once or twice a week,Three or more times a week,Not during the past month.,Less than once a week.,Once or twice a week.,Several days,More than half the days,More than half the days,More than half the days,Nearly every day,Nearly every day,Nearly every day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B TECH AEROSPACE,No,No,They interfere a lot more now. And I don't like it.,Medium,Medium,Very High,Very High,High,Medium,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,20.0,I've missed quite a lot of classes because I can't wake up.,3.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
169,8/31/2020 23:09:53,34.0,Tamil Nadu,Female,Healthcare/sanitation worker or COVID-19 efforts essential worker,High,Yes,Yes. But I am not fazed by it.,1-2 hours/day,11:30:00 PM,30.0,7:00:00 AM,7.0,Fairly good,Once or twice a week,Once or twice a week,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Once or twice a week,Once or twice a week,Not during the past month,Not during the past month.,Once or twice a week.,Three or more times a week.,Several days,Several days,Several days,More than half the days,More than half the days,Several days,Several days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No.,Sometimes.,Sometimes,I plan to resign sometime soon. The risk to my health is too high.,Yes,No,No,No. I feel overworked.,None.,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
170,8/31/2020 23:10:05,34.0,Tamil Nadu,Female,Healthcare/sanitation worker or COVID-19 efforts essential worker,High,Yes,Yes. But I am not fazed by it.,1-2 hours/day,11:30:00 PM,30.0,7:00:00 AM,7.0,Fairly good,Once or twice a week,Once or twice a week,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Once or twice a week,Once or twice a week,Not during the past month,Not during the past month.,Once or twice a week.,Three or more times a week.,Several days,Several days,Several days,More than half the days,More than half the days,Several days,Several days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No.,Sometimes.,Sometimes,I plan to resign sometime soon. The risk to my health is too high.,Yes,No,No,No. I feel overworked.,None.,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
171,8/31/2020 23:10:28,17.0,Tamil Nadu,Female,Just finished 12th grade.,Medium,No,Yes. And it is worrying.,<1 hour/day,10:00:00 AM,10.0,6:30:00 AM,8.0,Fairly good,Less than once a week,Once or twice a week,Three or more times a week,Not during the past month,Not during the past month,Less than once a week,Once or twice a week,Three or more times a week,Less than once a week,Not during the past month,Not during the past month.,Not during the past month.,Not during the past month.,Several days,Several days,Several days,Several days,Nearly every day,Nearly every day,More than half the days,3.0,No,Medium,Low,Low,Low,Low,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
172,8/31/2020 23:22:11,48.0,Tamil Nadu,Male,Healthcare/sanitation worker or COVID-19 efforts essential worker,High,Yes,Yes. And it is worrying.,>3 hours/day,11:00:00 PM,120.0,5:00:00 AM,5.0,Very Bad,Once or twice a week,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Once or twice a week.,Not during the past month.,Not during the past month.,Several days,Several days,Several days,Several days,Several days,Several days,Several days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes. I feel adequately protected.,I come home everyday.,Sometimes,No.,No,No,No,,Free treatment,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
173,8/31/2020 23:27:16,18.0,Tamil Nadu,Female,Student in college but not final year.,Low,No,No.,<1 hour/day,2:30:00 AM,120.0,9:50:00 AM,4.0,Very Bad,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month.,Less than once a week.,Three or more times a week.,Not at all,Several days,Not at all,Not at all,Several days,Several days,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bcom bank management,No,Yes,They are not involved at all.,,,,,,,Medium,,,Medium,High,Medium,Very Low,Medium,,6.0,Most of the time.,3.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
174,8/31/2020 23:42:15,22.0,Maharashtra,Female,Student in college but not final year.,Medium,No,No.,<1 hour/day,1:00:00 AM,30.0,7:30:00 AM,5.5,Fairly good,Three or more times a week,Once or twice a week,Once or twice a week,Not during the past month,Not during the past month,Once or twice a week,Not during the past month,Less than once a week,Once or twice a week,Once or twice a week,Not during the past month.,Not during the past month.,Three or more times a week.,More than half the days,Nearly every day,Nearly every day,Nearly every day,Several days,More than half the days,More than half the days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MBA,No,No,They are not involved at all.,High,Very High,Very High,Low,Very Low,Medium,Very High,Very High,Medium,Very High,Very High,Very High,Very Low,Low,Very High,60.0,Everyday.,2.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
175,8/31/2020 23:44:31,15.0,Tamil Nadu,Prefer not to say,Student in School ( 9th - 12th grade),Medium,Yes,Yes. And it is worrying.,<1 hour/day,2:30:00 AM,30.0,9:00:00 AM,6.0,Fairly good,Less than once a week,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Once or twice a week,Once or twice a week,Not during the past month,Not during the past month,Less than once a week,Not during the past month.,Not during the past month.,Not during the past month.,Not at all,Several days,Several days,Several days,Several days,Several days,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,12th grade,30.0,No,No,"Yes, they help out. And I feel positive about it.",,Very Low,High,,Medium,High,High,High,High,High,High,High,Medium,I used to depend on extra tuition and now I don't have that.,Yes,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
176,8/31/2020 23:54:54,15.0,Tamil Nadu,Female,Student in School ( 9th - 12th grade),Medium,No,Yes. And it is worrying.,<1 hour/day,1:00:00 AM,20.0,8:30:00 AM,7.0,Fairly good,Not during the past month,Not during the past month,Three or more times a week,Less than once a week,Less than once a week,Three or more times a week,Less than once a week,Once or twice a week,Not during the past month,Not during the past month,Not during the past month.,Not during the past month.,Once or twice a week.,More than half the days,Not at all,Not at all,Not at all,Not at all,More than half the days,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,10th grade,24.0,No,No,They are not involved at all.,Very Low,Medium,Very Low,Very Low,Very Low,Very Low,Medium,High,Low,Low,Low,High,Medium,I still attend tuition like before.,No,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
177,9/1/2020 0:03:11,45.0,Tamil Nadu,Female,Working Professional,Medium,No,Yes. And it is worrying.,<1 hour/day,12:00:00 AM,5.0,7:30:00 AM,7.0,Fairly good,Less than once a week,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month.,Not during the past month.,Less than once a week.,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,,,,,,,,,No,We work from home.,No,Yes,Yes,,No,No,0.0,We work from Home.,0.0,1.0,No,Working from home.,It's the same as before.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
178,9/1/2020 0:11:04,52.0,Tamil Nadu,Male,Working Professional,Low,No,Yes. But I am not fazed by it.,<1 hour/day,12:30:00 AM,15.0,7:30:00 AM,7.0,Fairly good,Less than once a week,Less than once a week,Three or more times a week,Not during the past month,Three or more times a week,Once or twice a week,Once or twice a week,Three or more times a week,Not during the past month,Once or twice a week,Not during the past month.,Not during the past month.,Less than once a week.,Several days,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,,,,,,,,,No,We work from home.,,Yes,Yes,,No,No,3.0,We work from Home.,0.0,1.0,Yes,Going to my workplace.,It's the same as before.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
179,9/1/2020 0:14:36,23.0,Tamil Nadu,Female,Healthcare/sanitation worker or COVID-19 efforts essential worker,Low,Yes,Yes. And it is worrying.,<1 hour/day,11:55:00 PM,10.0,11:05:00 AM,8.0,Very good,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month.,Not during the past month.,Not during the past month.,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes. I feel adequately protected.,Sometimes.,Sometimes,No.,Yes,Yes,Yes,Yes. And it is adequate with proper rotation.,Partial coverage.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
180,9/1/2020 0:20:12,26.0,Tamil Nadu,Female,Working Professional,High,Yes,Yes. But I am not fazed by it.,<1 hour/day,11:00:00 PM,13.0,5:15:00 AM,12.0,Fairly good,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month.,Not during the past month.,Not during the past month.,Not at all,Several days,Several days,Several days,Several days,Several days,Several days,,,,,,,,,No,"Safe, I feel like I take adequate precautionary measures and that is satisfactory.",,No,Yes,Yes,Yes,Yes,0.0,Yes,2.0,4.0,No,Going to my workplace.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
181,9/1/2020 0:52:53,17.0,Tamil Nadu,Female,Student in School ( 9th - 12th grade),Medium,Yes,Yes. And it is worrying.,<1 hour/day,12:30:00 PM,30.0,9:00:00 AM,6.0,Fairly good,Less than once a week,Less than once a week,Not during the past month,Less than once a week,Not during the past month,Once or twice a week,Less than once a week,Once or twice a week,Not during the past month,Less than once a week,Not during the past month.,Not during the past month.,Less than once a week.,More than half the days,More than half the days,Nearly every day,Several days,Several days,More than half the days,Nearly every day,,,,,,,,,,,,,,,,,,,,,,,,,,,,12th grade,7.0,No,No,They interfere a lot more now. And I don't like it.,Low,High,Medium,Medium,High,Very High,Very High,High,Very High,Very High,Very High,Very High,High,,Yes,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
182,9/1/2020 6:44:15,17.0,Tamil Nadu,Female,Just finished 12th grade.,Low,No,Yes. But I am not fazed by it.,<1 hour/day,3:00:00 AM,120.0,12:00:00 PM,8.0,Very Bad,Once or twice a week,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Less than once a week,Less than once a week,Not during the past month,Not during the past month,Not during the past month.,Less than once a week.,Once or twice a week.,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,5.0,No,Very Low,Very Low,Very Low,Very Low,Very Low,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
